Female,Dun Laoghaire-Rathdown,4,4,3,2,7,5,0,0,0
Female,Kildare,7,4,4,3,8,2,2,4,3
Female,Kilkenny,4,1,2,3,1,1,4,5,4
Female,Laois,2,2,2,3,1,2,1,2,1
Female,Longford,0,2,1,0,0,1,0,0,1
Female,Louth,2,3,4,1,2,2,3,2,1
Female,Meath,10,4,1,1,4,4,2,7,3
Female,Offaly,4,3,5,1,2,0,0,0,1
Female,Westmeath,1,4,1,2,0,0,0,2,0
Female,Wexford,2,6,2,5,7,3,4,3,2
Female,Wicklow,4,3,2,4,2,1,2,3,0
Female,Munster,30,35,28,33,22,26,27,30,27
Female,Clare,4,5,1,1,4,4,1,3,2
Female,Cork City,4,5,6,3,5,3,5,1,5
Female,Cork County,10,9,10,10,6,5,8,10,9
Female,Kerry,2,5,5,8,0,2,5,3,4
Female,Limerick City,2,1,0,3,3,4,4,3,2
Female,Limerick County,3,3,2,3,3,4,2,5,2
Female,North Tipperary,1,1,0,2,0,3,0,1,1
Female,South Tipperary,1,3,2,2,1,1,2,4,2
Female,Waterford City,0,1,1,0,0,0,0,0,0
Female,Waterford County,3,2,1,1,0,0,0,0,0
Female,Connacht,14,9,12,15,15,11,15,11,12
Female,Galway City,1,0,1,3,1,3,4,1,3
Female,Galway County,5,3,4,7,5,2,3,4,3
Female,Leitrim,1,1,1,2,1,0,0,0,0
Female,Mayo,4,3,2,1,3,4,4,3,3
Female,Roscommon,2,2,2,1,2,1,2,0,1
Female,Sligo,1,0,2,1,3,1,2,3,2
Female,Ulster (part of),8,4,3,4,4,12,7,9,12
Female,Cavan,1,1,1,1,0,5,3,1,4
Female,Donegal,6,2,1,3,0,6,3,8,7
Female,Monaghan,1,1,1,0,4,1,1,0,1
Female,Border,12,8,10,8,10,15,12,14,15
Female,Midland,7,11,9,6,3,3,1,4,3
Female,West,12,8,9,12,11,10,13,8,10
Female,Dublin,29,28,23,21,28,26,16,10,11
Female,Mid-East,21,11,7,8,14,7,6,14,6
Female,Mid-West,10,10,3,9,10,15,7,12,7
Female,South-East,13,14,8,11,9,10,14,14,11
Female,South-West,16,19,21,21,11,10,18,14,18
